# PLab PicoQuake Data
# Time: 2024-04-21 15:54:46.333682, Device: D4E9 (E6632891E36F2029)
# Num. samples: 10000, Duration: 5.0 s
# Config: data_rate = 2000.0 Hz, filter = 488 Hz, acc_range = 4 g, gyro_range = 250.0 dps
# Integrity: True, Skipped samples: 0
count,a_x,a_y,a_z,g_x,g_y,g_z
0,0.14404296875,-0.071533203125,-0.5740966796875,-249.99998474121094,-249.99998474121094,-249.99998474121094
1,0.1396484375,-0.0538330078125,-0.6043701171875,-249.99998474121094,-249.99998474121094,-249.99998474121094
2,0.133056640625,-0.0443115234375,-0.6361083984375,-249.99998474121094,-249.99998474121094,-249.99998474121094
3,0.1156005859375,-0.0369873046875,-0.66943359375,-249.99998474121094,-249.99998474121094,-249.99998474121094
4,0.0657958984375,-0.0394287109375,-0.7186279296875,-249.99998474121094,-249.99998474121094,-249.99998474121094
5,0.0330810546875,-0.0499267578125,-0.780517578125,-249.99998474121094,-249.99998474121094,-249.99998474121094
6,0.1192626953125,-0.070068359375,-0.822265625,-249.99998474121094,-249.99998474121094,-249.99998474121094
7,0.268310546875,-0.0911865234375,-0.8330078125,-249.99998474121094,-249.99998474121094,-249.99998474121094
8,0.3778076171875,-0.094482421875,-0.85400390625,-249.99998474121094,-249.99998474121094,-249.99998474121094
9,0.485595703125,-0.0853271484375,-0.8896484375,-249.99998474121094,-249.99998474121094,-249.99998474121094
10,0.6190185546875,-0.0753173828125,-0.89892578125,-249.99998474121094,-249.99998474121094,-249.99998474121094
11,0.6583251953125,-0.0577392578125,-0.8907470703125,-249.99998474121094,-249.99998474121094,-249.99998474121094
12,0.583251953125,-0.0452880859375,-0.91064453125,-249.99998474121094,-249.99998474121094,-249.99998474121094
13,0.52587890625,-0.036865234375,-0.9669189453125,-249.99998474121094,-249.99998474121094,-249.99998474121094
14,0.459228515625,-0.0367431640625,-1.0274658203125,-249.99998474121094,-249.99998474121094,-249.99998474121094
15,0.333740234375,-0.0498046875,-1.0882568359375,-249.99998474121094,-249.99998474121094,-249.99998474121094
16,0.2989501953125,-0.0565185546875,-1.155029296875,-249.99998474121094,-249.99998474121094,-249.99998474121094
17,0.4111328125,-0.0587158203125,-1.2076416015625,-249.99998474121094,-249.99998474121094,-249.99998474121094
18,0.546142578125,-0.0548095703125,-1.2391357421875,-249.99998474121094,-249.99998474121094,-249.99998474121094
19,0.6380615234375,-0.0440673828125,-1.252197265625,-249.99998474121094,-249.99998474121094,-249.99998474121094
20,0.748046875,-0.024169921875,-1.2547607421875,-249.99998474121094,-249.99998474121094,-249.99998474121094
21,0.850830078125,-0.000244140625,-1.252197265625,-249.99998474121094,-249.99998474121094,-249.99998474121094
22,0.8504638671875,0.0189208984375,-1.2528076171875,-249.99998474121094,-249.99998474121094,-249.99998474121094
23,0.8201904296875,0.03515625,-1.2587890625,-249.99998474121094,-249.99998474121094,-249.99998474121094
24,0.8367919921875,0.03271484375,-1.2589111328125,-249.99998474121094,-249.99998474121094,-249.99998474121094
25,0.8192138671875,0.0086669921875,-1.280517578125,-249.99998474121094,-249.99998474121094,-249.99998474121094
26,0.7816162109375,-0.0115966796875,-1.3221435546875,-249.99998474121094,-249.99998474121094,-249.99998474121094
27,0.82861328125,-0.0115966796875,-1.33056640625,-249.99998474121094,-249.99998474121094,-249.99998474121094
28,0.911865234375,-0.0018310546875,-1.29833984375,-249.99998474121094,-249.99998474121094,-249.99998474121094
29,0.91015625,0.0145263671875,-1.286865234375,-249.99998474121094,-249.99998474121094,-249.99998474121094
30,0.844970703125,0.041015625,-1.2889404296875,-249.99998474121094,-249.99998474121094,-249.99998474121094
